Case;Maschinenstatus;Verzögerung;vorher Maschinenpause;Vorverarbeitung
5388;Schlecht;Ja;Nein;nein
5389;Gut;Ja;Nein;nein
5390;Gut;Nein;Ja;nein
5391;Gut;Nein;Nein;nein
5392;Gut;Nein;Nein;nein
5393;Gut;Nein;Ja;nein
5394;Schlecht;Ja;Nein;Ja
5395;Schlecht;Ja;Nein;nein
5396;Gut;Nein;Nein;nein
5397;Gut;Nein;Nein;nein
5398;Gut;Nein;Ja;nein
5399;Schlecht;Ja;Nein;Ja
5400;Gut;Nein;Nein;nein
5401;Gut;Nein;Ja;nein
5402;Gut;Nein;Nein;nein
5403;Schlecht;Ja;Nein;Ja
5404;Schlecht;Nein;Nein;Ja
5405;Gut;Nein;Nein;nein
5406;Gut;Ja;Nein;nein
5407;Gut;Nein;Nein;nein
5408;Gut;Ja;Nein;nein
5409;Gut;Ja;Nein;nein
5410;Gut;Ja;Nein;nein
5411;Schlecht;Ja;Nein;Ja
5412;Gut;Nein;Nein;nein
5413;Gut;Nein;Nein;nein
5414;Gut;Nein;Ja;nein
5415;Gut;Nein;Nein;nein
5416;Gut;Nein;Ja;nein
5417;Gut;Nein;Nein;nein
5418;Schlecht;Ja;Nein;Ja
5419;Gut;Nein;Ja;nein
5420;Gut;Ja;Nein;nein
5421;Gut;Nein;Nein;nein
5422;Gut;Ja;Nein;nein
5423;Schlecht;Ja;Nein;Ja
5424;Gut;Ja;Ja;nein
5425;Schlecht;Ja;Nein;Ja
5426;Gut;Ja;Nein;nein
5427;Gut;Ja;Nein;nein
5428;Gut;Nein;Nein;Ja
5429;Gut;Nein;Nein;nein
5430;Schlecht;Ja;Nein;Ja
5431;Gut;Nein;Ja;nein
5432;Gut;Nein;Nein;nein
5433;Gut;Ja;Nein;nein
5434;Gut;Ja;Nein;nein
5435;Gut;Ja;Nein;nein
5436;Schlecht;Ja;Nein;Ja
5437;Gut;Nein;Nein;nein
5438;Gut;Nein;Nein;nein
5439;Gut;Nein;Nein;nein
5440;Schlecht;Ja;Nein;Ja
5441;Gut;Nein;Ja;nein
5442;Schlecht;Nein;Nein;Ja
5443;Schlecht;Ja;Ja;nein
5444;Gut;Ja;Ja;nein
5445;Gut;Ja;Nein;nein
5446;Gut;Nein;Nein;nein
5447;Gut;Ja;Nein;nein
5448;Gut;Nein;Nein;nein
5449;Gut;Nein;Nein;Ja
5450;Gut;Nein;Nein;nein
5451;Gut;Nein;Ja;nein
5452;Gut;Ja;Nein;nein
5453;Gut;Nein;Ja;Ja
5454;Gut;Nein;Nein;nein
5455;Gut;Ja;Ja;nein
5456;Schlecht;Nein;Nein;nein
5457;Schlecht;Ja;Nein;Ja
5458;Schlecht;Ja;Nein;Ja
5459;Schlecht;Ja;Nein;nein
5460;Gut;Nein;Nein;nein
5461;Gut;Nein;Nein;nein
5462;Gut;Nein;Nein;nein
5463;Gut;Nein;Ja;nein
5464;Gut;Nein;Nein;Ja
5465;Gut;Nein;Nein;nein
5466;Gut;Ja;Nein;nein
5467;Schlecht;Ja;Nein;Ja
5468;Gut;Nein;Nein;nein
5469;Gut;Nein;Nein;nein
5470;Gut;Nein;Nein;nein
5471;Schlecht;Nein;Nein;Ja
5472;Gut;Nein;Nein;nein
5473;Schlecht;Ja;Nein;Ja
5474;Gut;Nein;Nein;nein
5475;Schlecht;Ja;Ja;Ja
5476;Gut;Ja;Nein;nein
5477;Gut;Ja;Nein;nein
5478;Gut;Ja;Nein;nein
5479;Gut;Nein;Nein;nein
5480;Gut;Ja;Nein;nein
5481;Schlecht;Nein;Nein;Ja
5482;Gut;Ja;Nein;nein
5483;Gut;Nein;Nein;nein
5484;Schlecht;Ja;Nein;Ja
5485;Gut;Ja;Nein;nein
5486;Gut;Nein;Ja;Ja
5487;Gut;Nein;Nein;nein
5488;Schlecht;Ja;Nein;Ja
5489;Gut;Nein;Nein;nein
5490;Gut;Ja;Nein;nein
5491;Gut;Ja;Nein;nein
5492;Gut;Ja;Ja;nein
5493;Gut;Nein;Nein;nein
5494;Gut;Nein;Ja;nein
5495;Schlecht;Ja;Nein;Ja
5496;Gut;Nein;Ja;nein
5497;Schlecht;Ja;Nein;Ja
5498;Schlecht;Ja;Nein;Ja
5499;Gut;Nein;Nein;nein
5500;Gut;Nein;Ja;Ja
5501;Gut;Ja;Nein;nein
5502;Gut;Ja;Nein;nein
5503;Gut;Nein;Nein;nein
5504;Gut;Nein;Nein;nein
5505;Schlecht;Ja;Nein;Ja
5506;Gut;Nein;Nein;nein
5507;Schlecht;Nein;Nein;Ja
5508;Gut;Nein;Nein;nein
5509;Schlecht;Nein;Nein;Ja
5510;Gut;Nein;Ja;nein
5511;Schlecht;Nein;Nein;nein
5512;Gut;Nein;Nein;nein
5513;Gut;Ja;Ja;nein
5514;Schlecht;Ja;Nein;Ja
5515;Gut;Nein;Nein;nein
5516;Gut;Ja;Nein;nein
5517;Gut;Nein;Nein;nein
5518;Gut;Ja;Nein;nein
5519;Schlecht;Nein;Nein;nein
5520;Schlecht;Ja;Nein;Ja
5521;Gut;Ja;Ja;nein
5522;Gut;Nein;Nein;nein
5523;Gut;Ja;Nein;nein
5524;Schlecht;Nein;Nein;Ja
5525;Schlecht;Nein;Nein;nein
5526;Gut;Nein;Ja;nein
5527;Gut;Nein;Nein;nein
5528;Gut;Nein;Nein;nein
5529;Schlecht;Nein;Nein;Ja
5530;Schlecht;Nein;Nein;Ja
5531;Gut;Ja;Nein;nein
5532;Gut;Nein;Nein;nein
5533;Schlecht;Ja;Nein;Ja
5534;Schlecht;Nein;Nein;Ja
5535;Gut;Nein;Ja;nein
5536;Gut;Nein;Ja;nein
5537;Gut;Nein;Nein;nein
5538;Gut;Nein;Nein;Ja
5539;Gut;Ja;Nein;nein
5540;Gut;Ja;Nein;nein
5541;Gut;Nein;Nein;nein
5542;Schlecht;Nein;Nein;Ja
5543;Gut;Ja;Nein;nein
5544;Gut;Nein;Ja;nein
5545;Gut;Nein;Nein;nein
5546;Gut;Ja;Nein;nein
5547;Gut;Nein;Nein;nein
5548;Schlecht;Nein;Nein;Ja
5549;Gut;Nein;Nein;nein
5550;Gut;Ja;Nein;nein
5551;Schlecht;Nein;Nein;Ja
5552;Schlecht;Ja;Nein;Ja
5553;Schlecht;Ja;Nein;Ja
5554;Gut;Ja;Nein;nein
5555;Gut;Ja;Nein;nein
5556;Gut;Nein;Ja;nein
5557;Gut;Nein;Nein;nein
5558;Schlecht;Nein;Nein;nein
5559;Gut;Ja;Nein;nein
5560;Gut;Ja;Ja;nein
5561;Schlecht;Ja;Nein;Ja
5562;Gut;Ja;Nein;nein
5563;Gut;Nein;Nein;nein
5564;Schlecht;Nein;Nein;nein
5565;Schlecht;Ja;Nein;Ja
5566;Gut;Nein;Nein;nein
5567;Gut;Nein;Nein;nein
5568;Gut;Nein;Nein;nein
5569;Schlecht;Ja;Nein;Ja
5570;Gut;Nein;Nein;nein
5571;Gut;Ja;Nein;nein
5572;Gut;Nein;Nein;nein
5573;Gut;Ja;Nein;nein
5574;Gut;Ja;Nein;nein
5575;Schlecht;Ja;Nein;Ja
5576;Gut;Nein;Nein;nein
5577;Gut;Nein;Ja;nein
5578;Schlecht;Nein;Nein;Ja
5579;Gut;Ja;Nein;nein
5580;Schlecht;Ja;Nein;nein
5581;Gut;Nein;Ja;nein
5582;Gut;Nein;Nein;nein
5583;Gut;Nein;Ja;nein
5584;Gut;Ja;Nein;nein
5585;Gut;Ja;Nein;nein
5586;Schlecht;Nein;Ja;Ja
5587;Gut;Ja;Nein;nein
5588;Schlecht;Nein;Nein;Ja
5589;Gut;Nein;Nein;nein
5590;Schlecht;Nein;Nein;Ja
5591;Schlecht;Ja;Nein;Ja
5592;Gut;Ja;Ja;nein
5593;Gut;Nein;Ja;nein
5594;Schlecht;Ja;Nein;Ja
5595;Gut;Nein;Ja;nein
5596;Gut;Nein;Nein;nein
5597;Gut;Nein;Ja;nein
5598;Gut;Nein;Nein;nein
5599;Gut;Ja;Nein;nein
5600;Gut;Ja;Nein;nein
5601;Schlecht;Nein;Nein;nein
5602;Gut;Nein;Nein;nein
5603;Schlecht;Ja;Ja;Ja
5604;Gut;Nein;Nein;Ja
5605;Gut;Ja;Ja;nein
5606;Schlecht;Nein;Nein;nein
5607;Gut;Nein;Nein;nein
5608;Schlecht;Nein;Nein;Ja
5609;Schlecht;Ja;Nein;Ja
5610;Schlecht;Nein;Nein;Ja
5611;Gut;Nein;Ja;nein
5612;Gut;Nein;Nein;Ja
5613;Schlecht;Nein;Nein;Ja
5614;Gut;Ja;Ja;nein
5615;Schlecht;Nein;Nein;Ja
5616;Gut;Ja;Nein;nein
5617;Schlecht;Ja;Nein;Ja
5618;Schlecht;Ja;Nein;Ja
5619;Gut;Ja;Nein;nein
5620;Gut;Nein;Nein;nein
5621;Gut;Nein;Nein;nein
5622;Schlecht;Nein;Nein;Ja
5623;Schlecht;Nein;Nein;Ja
5624;Gut;Nein;Ja;nein
5625;Schlecht;Ja;Nein;Ja
5626;Schlecht;Ja;Nein;Ja
5627;Gut;Nein;Ja;nein
5628;Gut;Nein;Nein;nein
5629;Schlecht;Nein;Nein;Ja
5630;Schlecht;Ja;Nein;Ja
5631;Gut;Nein;Ja;nein
5632;Schlecht;Ja;Nein;Ja
5633;Gut;Ja;Ja;nein
5634;Gut;Nein;Nein;nein
5635;Schlecht;Nein;Nein;nein
5636;Schlecht;Ja;Nein;Ja
5637;Schlecht;Ja;Nein;Ja
5638;Gut;Ja;Ja;nein
5639;Schlecht;Nein;Nein;Ja
5640;Schlecht;Ja;Nein;Ja
5641;Gut;Nein;Nein;nein
5642;Gut;Ja;Nein;nein
5643;Schlecht;Ja;Nein;Ja
5644;Gut;Ja;Ja;nein
5645;Gut;Ja;Ja;nein
5646;Gut;Nein;Nein;nein
5647;Schlecht;Nein;Nein;Ja
5648;Gut;Nein;Nein;Ja
5649;Schlecht;Nein;Nein;Ja
5650;Gut;Ja;Nein;nein
5651;Gut;Nein;Nein;nein
5652;Gut;Ja;Nein;nein
5653;Schlecht;Nein;Nein;Ja
5654;Gut;Ja;Nein;nein
5655;Gut;Nein;Ja;nein
5656;Gut;Ja;Nein;nein
5657;Schlecht;Ja;Nein;Ja
5658;Gut;Nein;Nein;nein
5659;Gut;Nein;Nein;nein
5660;Gut;Ja;Nein;nein
5661;Gut;Nein;Nein;nein
5662;Gut;Ja;Nein;nein
5663;Gut;Nein;Nein;nein
5664;Gut;Ja;Nein;nein
5665;Gut;Nein;Nein;nein
5666;Schlecht;Nein;Nein;Ja
5667;Schlecht;Ja;Nein;Ja
5668;Schlecht;Nein;Nein;Ja
5669;Gut;Ja;Ja;nein
5670;Gut;Nein;Nein;nein
5671;Gut;Ja;Nein;nein
5672;Schlecht;Ja;Nein;Ja
5673;Schlecht;Nein;Nein;Ja
5674;Schlecht;Ja;Nein;nein
5675;Schlecht;Ja;Nein;Ja
5676;Gut;Nein;Ja;nein
5677;Schlecht;Ja;Nein;Ja
5678;Gut;Ja;Nein;nein
5679;Gut;Nein;Nein;nein
5680;Gut;Nein;Nein;nein
5681;Schlecht;Nein;Nein;Ja
5682;Schlecht;Ja;Nein;nein
5683;Gut;Nein;Nein;nein
5684;Gut;Ja;Nein;nein
5685;Gut;Nein;Nein;nein
5686;Gut;Nein;Nein;nein
5687;Schlecht;Ja;Nein;Ja
5688;Schlecht;Ja;Ja;Ja
5689;Schlecht;Ja;Nein;nein
5690;Gut;Nein;Ja;nein
5691;Gut;Nein;Ja;nein
5692;Schlecht;Nein;Nein;Ja
5693;Gut;Nein;Nein;nein
5694;Gut;Ja;Nein;nein
5695;Gut;Nein;Nein;nein
5696;Gut;Ja;Nein;nein
5697;Gut;Nein;Nein;nein
5698;Gut;Ja;Nein;nein
5699;Gut;Nein;Nein;nein
5700;Gut;Nein;Nein;nein
5701;Gut;Nein;Nein;nein
5702;Schlecht;Ja;Nein;nein
5703;Schlecht;Nein;Nein;Ja
5704;Gut;Nein;Nein;nein
5705;Gut;Ja;Nein;nein
5706;Gut;Nein;Nein;nein
5707;Gut;Ja;Nein;nein
5708;Gut;Nein;Nein;nein
5709;Gut;Nein;Ja;nein
5710;Schlecht;Nein;Nein;Ja
5711;Gut;Nein;Nein;nein
5712;Gut;Ja;Nein;nein
5713;Gut;Nein;Nein;nein
5714;Gut;Ja;Ja;nein
5715;Schlecht;Ja;Nein;Ja
5716;Schlecht;Ja;Nein;Ja
5717;Schlecht;Ja;Nein;nein
5718;Schlecht;Ja;Nein;Ja
5719;Gut;Nein;Nein;nein
5720;Schlecht;Ja;Nein;Ja
5721;Gut;Ja;Ja;nein
5722;Schlecht;Ja;Nein;Ja
5723;Gut;Ja;Nein;nein
5724;Gut;Nein;Nein;nein
5725;Gut;Nein;Nein;nein
5726;Gut;Nein;Nein;nein
5727;Schlecht;Ja;Nein;nein
5728;Gut;Nein;Nein;nein
5729;Gut;Nein;Nein;nein
5730;Gut;Nein;Ja;nein
5731;Schlecht;Ja;Nein;Ja
5732;Gut;Ja;Ja;nein
5733;Gut;Nein;Nein;nein
5734;Schlecht;Ja;Nein;nein
5735;Schlecht;Ja;Nein;Ja
5736;Schlecht;Ja;Nein;Ja
5737;Schlecht;Ja;Nein;nein
5738;Schlecht;Ja;Ja;Ja
5739;Gut;Nein;Nein;nein
5740;Schlecht;Ja;Nein;Ja
5741;Gut;Nein;Ja;nein
5742;Schlecht;Ja;Nein;Ja
5743;Gut;Ja;Ja;nein
5744;Gut;Nein;Nein;Ja
5745;Gut;Ja;Nein;nein
5746;Gut;Nein;Nein;nein
5747;Schlecht;Nein;Nein;Ja
5748;Gut;Ja;Nein;nein
5749;Gut;Ja;Nein;nein
5750;Schlecht;Ja;Nein;Ja
5751;Gut;Nein;Nein;nein
5752;Gut;Ja;Nein;nein
5753;Schlecht;Ja;Ja;Ja
5754;Gut;Ja;Nein;nein
5755;Schlecht;Ja;Nein;nein
5756;Gut;Nein;Nein;nein
5757;Gut;Nein;Ja;nein
5758;Schlecht;Nein;Nein;Ja
5759;Gut;Ja;Ja;nein
5760;Gut;Nein;Nein;nein
5761;Schlecht;Ja;Nein;Ja
5762;Gut;Ja;Ja;nein
5763;Gut;Ja;Nein;nein
5764;Gut;Nein;Nein;nein
5765;Gut;Nein;Nein;nein
5766;Gut;Nein;Ja;Ja
5767;Gut;Nein;Nein;Ja
5768;Schlecht;Nein;Nein;Ja
5769;Gut;Ja;Nein;nein
5770;Gut;Nein;Nein;nein
5771;Schlecht;Ja;Nein;Ja
5772;Gut;Ja;Ja;nein
5773;Schlecht;Ja;Ja;Ja
5774;Gut;Ja;Ja;nein
5775;Gut;Nein;Nein;nein
5776;Gut;Ja;Nein;nein
5777;Schlecht;Ja;Nein;Ja
5778;Gut;Ja;Nein;nein
5779;Gut;Ja;Nein;nein
5780;Schlecht;Nein;Nein;Ja
5781;Schlecht;Nein;Nein;Ja
5782;Gut;Ja;Ja;nein
5783;Gut;Ja;Nein;nein
5784;Schlecht;Nein;Nein;Ja
5785;Gut;Ja;Nein;nein
5786;Schlecht;Ja;Nein;Ja
5787;Gut;Nein;Ja;nein
5788;Gut;Nein;Nein;nein
5789;Gut;Ja;Nein;nein
5790;Gut;Ja;Nein;nein
5791;Gut;Nein;Nein;nein
5792;Gut;Nein;Nein;Ja
5793;Gut;Ja;Nein;nein
5794;Gut;Nein;Ja;nein
5795;Gut;Nein;Nein;nein
5796;Gut;Nein;Ja;nein
5797;Schlecht;Nein;Nein;Ja
5798;Gut;Ja;Nein;nein
5799;Gut;Nein;Nein;nein
5800;Gut;Nein;Ja;nein
5801;Gut;Ja;Nein;nein
5802;Schlecht;Ja;Nein;Ja
5803;Schlecht;Nein;Nein;Ja
5804;Gut;Nein;Nein;nein
5805;Schlecht;Ja;Nein;nein
5806;Gut;Nein;Nein;nein
5807;Gut;Nein;Nein;nein
5808;Gut;Ja;Nein;nein
5809;Schlecht;Nein;Nein;Ja
5810;Schlecht;Ja;Nein;Ja
5811;Gut;Nein;Nein;nein
5812;Schlecht;Ja;Nein;Ja
5813;Schlecht;Ja;Nein;Ja
5814;Gut;Ja;Ja;nein
5815;Schlecht;Ja;Nein;Ja
5816;Schlecht;Nein;Nein;Ja
5817;Schlecht;Nein;Nein;Ja
5818;Schlecht;Ja;Nein;nein
5819;Schlecht;Nein;Nein;Ja
5820;Gut;Ja;Nein;nein
5821;Schlecht;Ja;Nein;Ja
5822;Gut;Nein;Nein;Ja
5823;Gut;Nein;Nein;nein
5824;Gut;Nein;Nein;nein
5825;Schlecht;Ja;Nein;nein
5826;Schlecht;Ja;Nein;Ja
5827;Gut;Ja;Nein;nein
5828;Gut;Nein;Nein;nein
5829;Gut;Ja;Nein;nein
5830;Schlecht;Ja;Nein;Ja
5831;Gut;Nein;Nein;nein
5832;Gut;Ja;Nein;nein
5833;Schlecht;Ja;Nein;Ja
5834;Gut;Nein;Ja;nein
5835;Gut;Nein;Ja;nein
5836;Schlecht;Nein;Nein;Ja
5837;Gut;Nein;Nein;nein
5838;Gut;Ja;Nein;nein
5839;Gut;Nein;Nein;nein
5840;Schlecht;Nein;Nein;Ja
5841;Gut;Ja;Nein;nein
5842;Gut;Ja;Ja;nein
5843;Schlecht;Ja;Nein;Ja
5844;Schlecht;Ja;Nein;Ja
5845;Gut;Nein;Nein;nein
5846;Schlecht;Nein;Nein;Ja
5847;Gut;Nein;Nein;nein
5848;Schlecht;Ja;Nein;Ja
5849;Schlecht;Ja;Nein;Ja
5850;Gut;Nein;Nein;nein
5851;Schlecht;Ja;Nein;Ja
5852;Schlecht;Nein;Nein;nein
5853;Gut;Ja;Nein;nein
5854;Schlecht;Ja;Nein;nein
5855;Schlecht;Nein;Nein;Ja
5856;Schlecht;Ja;Nein;Ja
5857;Schlecht;Nein;Nein;Ja
5858;Schlecht;Ja;Ja;Ja
5859;Gut;Nein;Nein;nein
5860;Gut;Nein;Ja;nein
5861;Schlecht;Ja;Ja;Ja
5862;Gut;Ja;Nein;nein
5863;Schlecht;Ja;Nein;Ja
5864;Schlecht;Nein;Nein;Ja
5865;Gut;Nein;Nein;nein
5866;Gut;Nein;Ja;nein
5867;Schlecht;Ja;Nein;nein
5868;Schlecht;Nein;Ja;Ja
5869;Schlecht;Nein;Nein;Ja
5870;Gut;Nein;Nein;nein
5871;Gut;Ja;Nein;nein
5872;Gut;Nein;Ja;nein
5873;Gut;Nein;Ja;nein
5874;Schlecht;Nein;Nein;Ja
5875;Gut;Ja;Ja;Ja
5876;Gut;Nein;Nein;nein
5877;Gut;Ja;Nein;nein
5878;Gut;Ja;Ja;nein
5879;Schlecht;Ja;Nein;Ja
5880;Gut;Nein;Nein;nein
5881;Gut;Nein;Nein;nein
5882;Gut;Nein;Nein;nein
5883;Schlecht;Ja;Ja;Ja
5884;Gut;Nein;Ja;Ja
5885;Gut;Ja;Ja;nein
5886;Gut;Ja;Nein;nein
5887;Gut;Ja;Nein;nein
5888;Gut;Nein;Nein;nein
5889;Gut;Ja;Ja;nein
5890;Gut;Nein;Nein;nein
5891;Gut;Ja;Nein;nein
5892;Gut;Nein;Nein;Ja
5893;Schlecht;Ja;Nein;Ja
5894;Gut;Ja;Nein;nein
5895;Gut;Nein;Nein;nein
5896;Schlecht;Ja;Nein;Ja
5897;Gut;Ja;Nein;nein
5898;Schlecht;Nein;Nein;Ja
5899;Schlecht;Ja;Nein;Ja
5900;Gut;Nein;Nein;nein
5901;Schlecht;Ja;Nein;Ja
5902;Gut;Nein;Nein;nein
5903;Gut;Ja;Nein;nein
5904;Gut;Nein;Nein;nein
5905;Schlecht;Ja;Nein;Ja
5906;Gut;Ja;Nein;nein
5907;Schlecht;Ja;Nein;Ja
5908;Gut;Nein;Nein;Ja
5909;Gut;Nein;Nein;nein
5910;Gut;Nein;Nein;nein
5911;Gut;Nein;Nein;nein
5912;Gut;Ja;Nein;nein
5913;Gut;Ja;Ja;nein
5914;Gut;Ja;Nein;nein
5915;Schlecht;Nein;Nein;Ja
5916;Gut;Nein;Ja;nein
5917;Gut;Nein;Nein;nein
5918;Gut;Ja;Ja;nein
5919;Schlecht;Ja;Nein;nein
5920;Schlecht;Ja;Nein;nein
5921;Gut;Nein;Nein;Ja
5922;Schlecht;Ja;Nein;Ja
5923;Gut;Nein;Nein;nein
5924;Gut;Nein;Nein;nein
5925;Gut;Ja;Ja;nein
5926;Gut;Nein;Nein;nein
5927;Schlecht;Nein;Nein;Ja
5928;Gut;Nein;Nein;nein
5929;Gut;Nein;Ja;nein
5930;Schlecht;Ja;Nein;Ja
5931;Gut;Nein;Nein;nein
5932;Schlecht;Ja;Nein;Ja
5933;Gut;Ja;Nein;nein
5934;Schlecht;Ja;Nein;Ja
5935;Gut;Nein;Ja;nein
5936;Gut;Nein;Ja;nein
5937;Schlecht;Ja;Nein;Ja
5938;Gut;Ja;Nein;nein
5939;Schlecht;Ja;Nein;Ja
5940;Gut;Nein;Nein;nein
5941;Gut;Ja;Nein;nein
5942;Gut;Ja;Nein;nein
5943;Gut;Nein;Nein;nein
5944;Gut;Nein;Nein;nein
5945;Gut;Nein;Nein;nein
5946;Gut;Nein;Ja;nein
5947;Schlecht;Ja;Nein;Ja
5948;Gut;Nein;Ja;nein
5949;Gut;Nein;Nein;nein
5950;Gut;Ja;Ja;nein
5951;Gut;Ja;Ja;nein
5952;Schlecht;Nein;Nein;Ja
5953;Gut;Ja;Nein;nein
5954;Schlecht;Nein;Nein;Ja
5955;Gut;Ja;Nein;nein
5956;Gut;Ja;Nein;nein
5957;Schlecht;Ja;Nein;Ja
5958;Gut;Ja;Nein;nein
5959;Gut;Nein;Nein;nein
5960;Gut;Ja;Nein;nein
5961;Schlecht;Ja;Nein;Ja
5962;Gut;Nein;Nein;nein
5963;Gut;Nein;Ja;nein
5964;Schlecht;Nein;Nein;Ja
5965;Schlecht;Ja;Nein;Ja
5966;Schlecht;Ja;Nein;Ja
5967;Gut;Nein;Nein;Ja
5968;Schlecht;Nein;Nein;nein
5969;Gut;Nein;Nein;nein
5970;Gut;Nein;Nein;nein
5971;Gut;Nein;Nein;nein
5972;Schlecht;Nein;Nein;Ja
5973;Gut;Ja;Nein;nein
5974;Schlecht;Ja;Nein;Ja
5975;Schlecht;Ja;Nein;Ja
5976;Gut;Ja;Nein;nein
5977;Gut;Ja;Nein;nein
5978;Gut;Ja;Nein;nein
5979;Schlecht;Nein;Nein;Ja
5980;Gut;Nein;Nein;nein
5981;Gut;Ja;Nein;nein
5982;Schlecht;Ja;Nein;Ja
5983;Gut;Nein;Nein;nein
5984;Schlecht;Ja;Nein;Ja
5985;Gut;Nein;Ja;nein
5986;Gut;Ja;Nein;nein
5987;Gut;Nein;Ja;nein
5988;Gut;Nein;Nein;nein
5989;Schlecht;Nein;Nein;nein
5990;Schlecht;Nein;Nein;Ja
5991;Schlecht;Ja;Nein;Ja
5992;Gut;Nein;Ja;nein
5993;Gut;Ja;Nein;nein
5994;Gut;Ja;Nein;nein
5995;Gut;Ja;Nein;nein
5996;Schlecht;Ja;Nein;Ja
5997;Schlecht;Nein;Nein;Ja
5998;Gut;Ja;Nein;nein
5999;Gut;Ja;Nein;nein
6000;Gut;Ja;Ja;nein
6001;Gut;Nein;Nein;nein
6002;Gut;Ja;Nein;nein
6003;Schlecht;Ja;Ja;Ja
6004;Gut;Nein;Nein;nein
6005;Schlecht;Ja;Nein;nein
6006;Gut;Ja;Nein;nein
6007;Gut;Nein;Ja;nein
6008;Gut;Ja;Ja;nein
6009;Schlecht;Nein;Nein;Ja
6010;Gut;Nein;Nein;nein
6011;Gut;Nein;Nein;nein
6012;Gut;Nein;Ja;nein
6013;Gut;Ja;Nein;nein
6014;Gut;Nein;Nein;nein
6015;Schlecht;Ja;Nein;Ja
6016;Schlecht;Nein;Nein;Ja
6017;Gut;Ja;Ja;nein
6018;Gut;Ja;Ja;nein
6019;Schlecht;Ja;Nein;Ja
6020;Gut;Nein;Nein;Ja
6021;Schlecht;Ja;Nein;Ja
6022;Gut;Nein;Nein;Ja
6023;Gut;Ja;Nein;nein
6024;Schlecht;Nein;Nein;Ja
6025;Schlecht;Ja;Nein;Ja
6026;Gut;Ja;Ja;nein
6027;Gut;Ja;Ja;nein
6028;Schlecht;Nein;Nein;Ja
6029;Schlecht;Ja;Nein;Ja
6030;Schlecht;Ja;Nein;Ja
6031;Schlecht;Nein;Nein;Ja
6032;Schlecht;Ja;Nein;Ja
6033;Gut;Nein;Nein;nein
6034;Schlecht;Nein;Nein;Ja
6035;Gut;Nein;Ja;Ja
6036;Gut;Ja;Ja;nein
6037;Schlecht;Nein;Nein;Ja
6038;Gut;Ja;Nein;nein
6039;Gut;Ja;Nein;nein
6040;Gut;Ja;Ja;nein
6041;Gut;Ja;Nein;nein
6042;Gut;Ja;Nein;nein
6043;Schlecht;Nein;Nein;Ja
6044;Schlecht;Ja;Nein;Ja
6045;Gut;Nein;Nein;nein
6046;Gut;Ja;Nein;nein
6047;Gut;Nein;Nein;nein
6048;Gut;Nein;Ja;nein
6049;Schlecht;Nein;Nein;nein
6050;Schlecht;Ja;Nein;Ja
6051;Gut;Ja;Nein;nein
6052;Gut;Nein;Nein;nein
6053;Gut;Ja;Nein;nein
6054;Gut;Ja;Nein;nein
6055;Gut;Ja;Ja;nein
6056;Gut;Nein;Ja;nein
6057;Schlecht;Ja;Nein;Ja
6058;Schlecht;Ja;Nein;Ja
6059;Gut;Nein;Ja;nein
6060;Gut;Nein;Nein;nein
6061;Gut;Nein;Ja;nein
6062;Gut;Nein;Ja;nein
6063;Schlecht;Nein;Nein;Ja
6064;Schlecht;Ja;Nein;Ja
6065;Schlecht;Nein;Nein;Ja
6066;Gut;Ja;Ja;nein
6067;Gut;Nein;Nein;nein
6068;Gut;Ja;Ja;nein
6069;Schlecht;Ja;Nein;Ja
6070;Schlecht;Ja;Nein;Ja
6071;Schlecht;Ja;Nein;Ja
6072;Schlecht;Ja;Nein;Ja
6073;Gut;Ja;Nein;nein
6074;Schlecht;Nein;Nein;Ja
6075;Schlecht;Nein;Nein;Ja
6076;Gut;Nein;Nein;nein
6077;Schlecht;Nein;Nein;Ja
6078;Gut;Nein;Nein;Ja
6079;Gut;Ja;Ja;nein
6080;Gut;Nein;Nein;nein
6081;Gut;Nein;Nein;nein
6082;Gut;Nein;Nein;nein
6083;Gut;Nein;Nein;nein
6084;Schlecht;Nein;Nein;Ja
6085;Gut;Ja;Nein;nein
6086;Schlecht;Ja;Nein;Ja
6087;Schlecht;Nein;Nein;nein
6088;Gut;Nein;Ja;nein
6089;Gut;Ja;Nein;nein
6090;Schlecht;Ja;Nein;Ja
6091;Schlecht;Nein;Nein;Ja
6092;Gut;Ja;Nein;nein
6093;Schlecht;Nein;Nein;Ja
6094;Gut;Ja;Ja;nein
6095;Gut;Ja;Nein;nein
6096;Gut;Ja;Nein;nein
6097;Gut;Ja;Nein;nein
6098;Gut;Ja;Ja;nein
6099;Schlecht;Nein;Nein;nein
6100;Gut;Ja;Ja;nein
6101;Schlecht;Ja;Nein;nein
6102;Gut;Ja;Ja;nein
6103;Schlecht;Ja;Nein;nein
6104;Gut;Ja;Nein;nein
6105;Gut;Nein;Nein;nein
6106;Gut;Nein;Nein;nein
6107;Schlecht;Ja;Nein;Ja
6108;Gut;Ja;Nein;nein
6109;Schlecht;Ja;Nein;Ja
6110;Gut;Ja;Nein;nein
6111;Schlecht;Ja;Nein;Ja
6112;Gut;Ja;Nein;nein
6113;Schlecht;Nein;Nein;Ja
6114;Schlecht;Ja;Nein;Ja
6115;Schlecht;Ja;Nein;Ja
6116;Schlecht;Nein;Nein;Ja
6117;Schlecht;Ja;Nein;nein
6118;Schlecht;Ja;Nein;Ja
6119;Schlecht;Nein;Nein;Ja
